time	magnitude	longitude	latitude	depth(m)	sigma_time	sigma_amp	cov_time_amp	event_index	gamma_score
2017-09-16T12:53:12.758	2.613	-95.285	16.710	46327.565	0.670	0.206	-0.050	302	5.553
2017-09-11T09:01:06.120	1.827	-94.728	15.190	20750.948	0.752	0.440	-0.099	312	10.233
2017-09-11T09:03:31.182	0.988	-95.788	15.616	38885.971	0.405	0.503	-0.178	313	6.922
2017-09-11T09:10:20.235	1.595	-94.917	15.036	51947.899	0.404	0.290	-0.037	314	5.962
2017-09-11T09:13:31.047	1.298	-98.862	15.434	31542.066	1.002	0.303	-0.022	315	9.530
2017-09-29T23:15:58.411	2.213	-95.146	16.340	0.000	0.891	0.360	0.047	9	12.262
2017-09-15T02:03:18.799	1.660	-93.480	15.398	0.000	1.126	0.234	-0.021	36	8.000
2017-09-20T07:40:35.031	2.046	-94.592	15.223	35220.622	0.799	0.264	0.047	61	7.888
2017-09-20T07:43:49.231	1.762	-95.189	15.571	30155.026	1.046	0.327	-0.040	62	6.901
2017-09-30T14:48:08.736	2.120	-93.827	15.193	36041.019	0.750	0.274	-0.147	63	7.791
2017-09-30T14:49:39.513	0.509	-97.226	16.172	34463.421	0.011	0.468	-0.002	64	4.742
2017-09-26T02:30:25.398	1.793	-94.387	15.108	29914.686	0.368	0.323	-0.130	78	6.807
2017-09-26T02:33:20.601	1.658	-94.843	16.525	0.000	0.889	0.213	0.114	79	9.504
2017-09-26T02:33:17.683	1.771	-94.598	15.871	62537.551	0.328	0.329	0.032	80	7.496
2017-09-26T02:36:51.318	1.566	-95.069	15.482	35883.661	0.673	0.352	-0.237	81	12.944
2017-09-09T12:17:38.344	3.140	-94.938	15.421	49556.867	0.653	0.501	-0.131	88	13.730
2017-09-23T02:15:36.984	2.304	-94.520	15.686	47788.875	0.271	0.381	0.004	106	9.239
2017-09-21T22:20:52.459	2.382	-94.606	17.273	170512.506	0.523	0.415	-0.167	113	15.014
2017-09-27T11:21:01.698	1.732	-93.807	15.230	8699.722	0.053	0.317	-0.004	115	5.000
2017-09-15T23:02:05.094	2.063	-93.847	15.236	0.000	0.459	0.169	-0.003	37	6.000
2017-09-29T19:22:19.742	2.038	-94.970	15.330	0.000	1.004	0.452	0.045	48	15.993
2017-09-11T14:54:41.308	2.686	-95.014	17.356	33449.670	0.329	0.267	0.061	84	6.055
2017-09-11T14:54:39.701	2.219	-95.644	17.421	266695.695	0.496	0.384	0.056	85	6.662
2017-09-11T14:56:00.498	3.188	-94.976	14.911	29035.001	0.544	0.479	-0.099	86	13.408
2017-09-11T14:55:58.518	3.813	-94.458	15.284	34482.986	0.714	0.225	-0.061	87	7.565
2017-09-14T07:13:38.225	2.670	-94.801	15.530	33910.590	0.878	0.557	-0.528	111	23.831
2017-09-14T07:17:19.083	1.934	-94.755	15.312	32089.886	0.976	0.389	-0.173	112	13.962
2017-09-18T10:35:13.768	1.591	-94.945	15.568	32652.100	0.564	0.167	0.051	116	7.945
2017-09-30T04:55:15.604	1.669	-95.364	16.125	41276.554	0.658	0.532	-0.982	128	13.133
2017-09-15T22:16:55.007	1.605	-94.900	16.007	0.000	0.375	0.118	0.025	6	5.000
2017-09-10T21:46:28.224	1.769	-95.204	15.156	8145.815	0.314	0.445	0.025	22	5.364
2017-09-10T21:49:28.853	2.271	-94.479	15.304	35503.786	0.547	0.435	-0.058	23	11.255
2017-09-25T21:21:32.431	1.929	-94.916	15.647	94611.218	0.884	0.465	-0.179	26	16.892
2017-09-17T14:56:11.270	2.295	-94.797	15.562	61806.865	0.303	0.182	0.018	43	6.343
2017-09-17T07:35:32.476	2.696	-95.679	15.234	271631.392	0.697	0.512	-0.069	1885	5.550
2017-09-17T07:37:10.699	1.218	-92.961	16.681	0.000	0.932	0.335	0.040	1887	6.326
2017-09-17T07:41:22.008	1.461	-94.536	17.331	116840.519	0.011	0.304	0.000	1889	4.635
2017-09-17T07:45:49.315	1.679	-94.901	16.363	0.000	0.861	0.600	-0.136	1891	8.897
2017-09-17T07:46:02.717	2.188	-94.830	15.718	304631.107	0.709	0.322	0.051	1893	4.907
2017-09-17T07:47:34.289	2.186	-95.258	16.944	0.000	0.208	0.501	-0.011	1895	5.513
2017-09-17T07:53:40.710	2.331	-94.845	15.497	225469.254	0.460	0.442	0.008	1896	6.495
2017-09-17T07:55:41.772	1.653	-95.185	15.278	0.000	0.658	0.501	-0.134	1897	10.476
2017-09-17T07:59:14.193	2.612	-95.051	17.742	298167.407	0.984	0.422	0.128	1898	4.424
2017-09-17T08:12:49.172	1.435	-93.612	17.252	30181.526	0.242	0.686	0.032	1899	4.680
2017-09-17T08:16:08.796	1.570	-95.036	15.591	19987.725	0.694	0.278	-0.238	1900	7.768
2017-09-17T08:31:33.062	1.566	-93.728	15.189	20089.810	0.167	0.308	-0.001	1901	6.000
2017-09-17T08:38:30.497	1.417	-95.223	15.155	0.000	0.842	0.538	-0.095	1902	8.967
2017-09-17T08:39:14.521	2.592	-95.242	15.538	25870.567	0.118	0.428	-0.037	1903	6.761
2017-09-17T08:42:22.946	1.683	-95.142	15.139	6301.694	0.969	0.505	-0.959	1904	12.453
2017-09-17T08:47:08.209	1.406	-94.390	15.683	8598.269	0.249	0.315	0.038	1905	6.907
2017-09-17T08:47:58.415	2.135	-95.285	15.646	0.000	0.396	0.372	-0.026	1906	5.340
2017-09-17T08:51:11.749	1.349	-95.759	15.600	12785.280	0.091	0.589	-0.027	1907	4.904
2017-09-17T08:52:38.947	2.052	-94.283	15.499	141577.657	0.690	0.578	-0.028	1908	9.882
2017-09-17T08:57:02.624	1.992	-94.688	15.368	31120.830	1.225	0.547	-0.635	1909	13.906
2017-09-17T09:00:42.281	2.458	-94.084	15.411	8569.784	0.761	0.561	-0.043	1910	16.789
2017-09-17T09:10:51.857	1.290	-96.003	15.618	57005.445	0.589	0.210	-0.013	1911	4.941
2017-09-17T09:13:13.418	1.508	-94.686	15.215	6202.429	0.990	0.360	-0.041	1912	7.885
2017-09-17T09:17:48.145	1.624	-94.832	15.109	33056.659	0.965	0.341	0.056	1913	6.113
2017-09-21T04:15:54.220	1.970	-94.930	14.810	28281.656	0.615	0.445	-0.173	1915	9.970
2017-09-25T18:28:19.130	2.102	-95.068	15.274	41861.648	0.695	0.383	-0.473	1952	22.001
2017-09-25T18:35:11.856	2.057	-94.719	16.532	155742.866	0.467	0.553	0.050	1953	4.687
2017-09-25T18:35:43.927	2.724	-94.933	16.122	31523.910	1.165	0.474	-0.145	1954	10.000
2017-09-12T01:23:04.662	2.015	-95.611	16.021	0.000	0.865	0.487	-0.168	10	10.500
2017-09-21T16:20:09.606	2.007	-95.303	15.166	5804.053	1.046	0.321	-0.131	29	8.889
2017-09-21T16:21:50.625	2.124	-94.728	15.158	32868.241	0.702	0.286	-0.166	30	8.637
2017-09-21T16:22:30.872	2.544	-94.833	16.951	291726.869	0.503	0.409	0.153	31	5.735
2017-09-17T09:50:14.166	2.219	-94.753	15.481	35462.303	0.917	0.419	-0.153	415	10.039
2017-09-17T09:51:14.006	1.835	-94.654	15.380	33141.230	0.203	0.190	-0.018	416	5.851
2017-09-17T10:02:52.965	1.985	-94.678	15.422	5034.479	0.844	0.488	-0.234	417	14.980
2017-09-17T10:13:18.388	2.256	-95.087	15.638	32578.248	0.726	0.476	-0.133	418	18.723
2017-09-17T10:19:59.559	1.396	-98.647	15.045	45147.231	0.227	0.200	-0.014	419	7.008
2017-09-17T10:25:34.235	1.420	-94.155	15.210	0.000	0.783	0.159	0.035	420	5.893
2017-09-16T07:02:44.616	2.069	-94.566	15.222	33429.075	0.424	0.405	-0.080	421	4.992
2017-09-21T21:27:03.277	2.134	-94.550	15.950	352000.000	0.656	0.235	0.010	424	4.433
2017-09-10T16:31:45.550	3.210	-94.383	15.003	33977.585	0.799	0.415	-0.052	444	8.895
2017-09-10T16:31:51.078	2.331	-94.838	14.788	34082.402	0.345	0.617	-0.094	445	7.209
2017-09-10T16:33:44.785	1.999	-94.653	15.057	35073.421	1.217	0.329	-0.182	446	8.000
2017-09-10T16:38:20.530	1.635	-94.967	15.171	226721.041	0.139	0.389	0.021	447	4.977
2017-09-10T16:42:06.224	1.724	-95.071	14.394	20101.028	0.174	0.336	-0.024	448	5.000
2017-09-10T16:47:31.318	1.887	-94.414	15.501	0.000	0.278	0.433	-0.018	449	6.486
2017-09-10T16:49:18.023	1.623	-95.852	15.428	239709.783	0.335	0.179	-0.009	450	4.539
2017-09-10T16:51:50.240	1.601	-95.408	15.721	110954.894	0.526	0.332	-0.176	451	10.789
2017-09-17T15:50:39.143	1.985	-95.326	15.869	0.000	1.053	0.270	-0.023	452	11.000
2017-09-12T05:54:37.551	2.212	-94.777	15.138	34878.428	1.066	0.536	-0.358	456	14.098
2017-09-29T07:04:48.506	1.556	-95.001	15.921	33249.346	0.328	0.356	-0.008	457	8.000
2017-09-21T09:49:17.448	1.869	-95.240	16.254	119382.200	0.197	0.394	0.025	58	5.849
2017-09-21T09:49:28.847	2.267	-95.128	15.013	26980.554	0.186	0.433	-0.051	59	5.937
2017-09-21T09:56:11.370	1.485	-94.855	16.067	38407.578	0.910	0.235	0.103	60	7.375
2017-09-13T06:11:10.146	0.918	-95.969	16.681	35689.306	0.813	0.552	0.175	99	9.745
2017-09-13T06:17:53.077	2.131	-93.686	15.282	39882.457	0.557	0.342	0.105	100	6.958
2017-09-13T06:21:01.308	1.454	-94.788	15.408	80898.028	0.765	0.383	-0.017	101	7.875
2017-09-13T06:22:25.024	1.790	-94.841	15.807	348879.652	0.608	0.645	0.080	102	7.496
2017-09-13T06:24:54.023	2.214	-94.505	15.830	55320.338	0.344	0.447	0.053	103	9.183
2017-09-23T23:42:59.877	1.964	-95.165	16.328	0.000	0.858	0.353	-0.114	118	12.998
2017-09-23T23:43:27.736	2.275	-95.038	15.711	93784.808	0.709	0.280	0.001	119	9.999
2017-09-23T23:47:29.122	2.110	-94.654	15.439	694.716	0.559	0.364	0.155	120	14.496
2017-09-13T17:21:48.217	2.463	-94.391	14.988	29808.088	0.688	0.241	-0.020	154	6.001
2017-09-17T01:16:32.122	2.166	-95.362	16.670	0.000	0.897	0.378	-0.091	164	20.902
2017-09-17T01:20:21.596	1.912	-93.487	16.018	120171.672	0.058	0.262	-0.000	165	6.000
2017-09-17T04:29:06.934	1.645	-94.884	15.118	21717.592	0.971	0.323	0.043	179	5.361
2017-09-17T04:30:22.013	2.196	-95.510	15.253	285607.782	0.908	0.361	-0.089	180	4.152
2017-09-14T17:14:47.280	1.921	-94.386	15.084	23930.987	0.625	0.265	-0.046	216	7.001
2017-09-26T08:14:57.050	0.848	-94.960	17.012	4838.284	0.542	0.204	-0.032	11	5.622
2017-09-26T08:20:39.560	1.640	-93.763	15.221	11930.941	0.152	0.379	-0.016	12	6.000
2017-09-18T20:09:07.177	2.273	-94.475	14.908	21802.736	0.498	0.198	0.135	19	5.965
2017-09-18T20:12:44.554	1.822	-95.569	14.846	826.849	0.521	0.399	0.006	20	6.849
2017-09-18T20:16:04.291	1.799	-95.113	15.342	26689.783	0.923	0.500	-0.602	21	11.827
2017-09-19T21:06:08.805	2.185	-94.700	15.141	30059.829	0.340	0.451	-0.050	25	6.683
2017-09-28T05:59:04.581	2.240	-94.668	15.190	31594.607	1.072	0.580	-0.585	55	19.604
2017-09-28T06:03:10.381	1.514	-95.850	16.518	24851.033	0.270	0.246	-0.027	56	4.547
2017-09-28T06:07:00.388	1.652	-95.057	15.757	102101.413	0.417	0.527	-0.894	57	14.000
2017-09-29T07:00:22.676	1.610	-95.198	16.286	0.000	0.513	0.380	-0.191	65	11.623
2017-09-11T17:58:05.094	2.400	-94.609	15.234	34444.437	0.844	0.484	-0.196	69	9.885
