ID,latitude,longitude,depth,X,Y,Z,EX,EY,EZ,MAG,NCCP,NCCS,NCTP,NCTS,RCC,RCT,CID,time_utc
69,15.594158,-94.460335,-30.877,39761.0,15916.9,2322.2,726.8,1043.6,928.7,2.514,0,0,14,6,-9.0,0.191,1,2017-09-08 23:10:31.060
70,15.21003,-94.736426,-36.282,10149.5,-26587.7,7727.8,1184.4,936.7,1962.5,2.462,0,0,272,273,-9.0,0.255,1,2017-09-08 23:14:47.220
71,15.429588,-94.810734,-53.039,2168.5,-2293.3,24484.8,993.8,2192.5,3542.5,2.346,0,0,120,55,-9.0,0.26,1,2017-09-08 23:25:27.600
72,15.151788,-94.681453,-46.344,16054.9,-33032.4,17789.9,1140.8,1419.7,3209.6,2.645,0,0,163,65,-9.0,0.322,1,2017-09-08 23:37:36.880
73,15.196721,-94.752775,-28.887,8394.4,-28060.4,332.1,808.2,1000.6,1560.8,2.492,0,0,437,213,-9.0,0.257,1,2017-09-09 00:34:53.260
74,15.187554,-94.821224,-30.349,1043.8,-29074.8,1794.6,504.2,934.7,1136.7,2.743,0,0,468,302,-9.0,0.32,1,2017-09-09 00:47:53.380
75,15.123309,-94.718172,-35.636,12111.5,-36183.7,7081.2,460.4,421.1,2118.9,2.223,0,0,275,207,-9.0,0.271,1,2017-09-09 00:53:41.270
76,15.202979,-94.744149,-23.174,9320.3,-27368.0,-5380.7,802.3,1408.3,1209.8,2.577,0,0,153,105,-9.0,0.3,1,2017-09-09 01:31:51.210
77,15.22721,-94.822738,-32.654,881.0,-24686.8,4099.8,751.9,1052.2,1513.3,2.633,0,0,354,203,-9.0,0.284,1,2017-09-09 01:46:39.570
78,15.204936,-94.824976,-62.174,640.8,-27151.5,33619.9,1470.9,1426.4,2217.1,2.372,0,0,165,145,-9.0,0.363,1,2017-09-09 02:21:53.390
79,14.712269,-94.198942,-31.549,4756.0,-7381.3,833.5,3777.3,1171.4,3566.3,3.174,0,0,15,5,-9.0,0.607,4,2017-09-09 02:32:03.430
80,15.630304,-95.278711,-57.75,573.1,5867.4,-4622.0,3732.4,2693.3,4928.3,2.682,0,0,9,8,-9.0,0.372,6,2017-09-09 02:35:15.470
81,15.19353,-95.318066,-22.344,-52311.2,-28413.6,-6210.8,1134.0,1413.8,1520.8,2.326,0,0,16,12,-9.0,0.299,1,2017-09-09 02:40:30.420
